complaint_id,product,sub_product,issue,sub_issue,company,state,channel,timely_response,consumer_disputed,date_received,compliance_signal,narrative_length,narrative_preview
3414709,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Old information reappears or never goes away,Experian Information Solutions Inc.,HI,Web,Yes,N/A,2019-10-22,financial_harm,307,XXXX XXXX has a old account settled in XXXX that keeps reappearing on my experian credit report and it now states its a debt from XXXX settled and XXXX balance. Its a total lie and incorrect. It was from XXXX settled way back then. It needs to be removed. Please make them remove it. Its effecting my score.
3065878,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Investigation took more than 30 days,SYNCHRONY FINANCIAL,SC,Web,Yes,N/A,2018-11-05,financial_harm,1086,"On XX/XX/2018 XXXX XXXX and XXXX XXXX were sent letters of validation via certified mail. The return receipts show XXXX XXXX 's letter was received by XX/XX/2018 and XXXX XXXX letter was received by XX/XX/2018. I heard no response from XXXX XXXX   until XXXX XXXX-which you can find in the attachments they provided in my last complaint made to them. Well pass the 30 days allotted by federal law to respond to a debt validation letter. XXXX XXXX sent a letter dated XX/XX/2018 but the post mark date reflects it being in the post office 's possession XX/XX/2018, per the corrected post mark date made by the postal service. In the envelope sent by XXXX XXXX they were requesting additional information 29 days after receiving the VOD letter and waited almost a week to send the letter off, which also shows lack of priority and willingness to follow federal law which states the company has 30 days from the date the letter is received to postmark a response. I filed a CFPB complaint and have contacted the 3 major credit reporting agencies of this neglect and the items still remain."
8070648,Debt collection,Credit card debt,False statements or representation,Attempted to collect wrong amount,Resurgent Capital Services L.P.,KY,Web,Yes,N/A,2023-12-28,financial_harm,258,"XXXX 2021, amount of XXXX to collect is Not accurate on my credit report. 
*I had called the company was told I had a lawsuit on me to pay the debt and that amount is not right! 
* So the rep told me to email for correspondence an I have gotten no reply back"
3242075,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,Web,Yes,N/A,2019-05-14,financial_harm,406,XXXX and Transunion are reporting incorrectly that I am 60 120 days past due on the SECURITY partial account numbers XXXX. This account reports a {$0.00} balance and {$0.00} past due. ( Please see pages 14 17 of the attached credit report. ) This incorrect reporting is harming my credit score. Please keep in mind that it is impossible to be late on accounts where nothing is owed and nothing is past due.
3401796,Debt collection,Mortgage debt,Communication tactics,"You told them to stop contacting you, but they keep trying","SELECT PORTFOLIO SERVICING, INC.",VA,Web,Yes,N/A,2019-10-10,financial_harm,737,"SPS Select Portfolio Servicing of XXXX XXXX XXXX, UT appears to be a debt collection agency, who started a systematic harassment by mail debt collection campaign against wife, XXXX XXXX. 

This harassment following a failed foreclosure attempt over the past 2 years ( XXXX-XXXX ) by XXXX XXXX XXXX and their attorneys ( XXXX ) over a 2nd Mortgage default loan by XXXX, approximately 10 Years ago. 

During XXXX-XXXX time period of XXXX/XXXX ( attempt to foreclose on our residence, XXXX XXXX XXXX, XXXX, VA XXXX, on legal advice & assistance of Mr. XXXX XXXX, Attorney, XXXX XXXX, VA, both myself, XXXX XXXX, and wife, XXXX, entered Chapter XXXX Trustee Protection, twice, that prevented the foreclosure attempt by XXXX/XXXX legal agent."
3358661,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"MARINER FINANCE, LLC",MS,Web,Yes,N/A,2019-08-29,financial_harm,2342,"On XX/XX/XXXX, I received a personal loan from the XXXX XXXX, XXXX branch of XXXX XXXX XXXX. On XX/XX/XXXX, my wife and I filed Chapter XXXX Bankruptcy which included that loan. The bankruptcy was completed on XX/XX/XXXX, and the loan is being properly listed on my credit report as Chapter XXXX Bankruptcy. 

However there is another loan listed on my credit report under Mariner Finance. It was also reportedly issued on XX/XX/XXXX, with a last payment made date of XX/XX/XXXX, the exact dates reported by XXXX XXXX XXXX. This loan is being reported as Unpaid Balance Charged Off. I have never applied for or received a loan from Mariner Finance, and certainly did not apply for or receive two entirely different loans on XX/XX/XXXX, as is currently claimed on my credit report. 

In XX/XX/XXXX, XXXX XXXX XXXX merged with Mariner Finance , LLC and on XX/XX/XXXX, the company became known as Mariner Finance. It appears that sometime between the merger and the final discharge of the debt, the account was transferred from XXXX XXXX XXXX to Mariner Finance, resulting in a new account number. That doesn't make it a new loan or change the fact it was XXXX, however. 

On XX/XX/XXXX, I submitted an "
3063440,"Payday loan, title loan, or personal loan",Payday loan,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,Ad Astra Recovery Services Inc,TX,Web,Yes,N/A,2018-11-01,financial_harm,845,"On XX/XX/18, I filed a complaint with Consumer Finance Protection Bureau ; XXXX ( complaint number ), regarding "" Ad Astra Recovery Service '', falsifying information on my credit report that they never "" Validated '' as belonging to me. In their response to the Consumer Finance Protection Bureau, on XX/XX/18 ; Ad Astra Recovery Service, stated they requested to the bureaus to delete from my credit report. They  never deleted this account from my XXXX credit report. This continue to be a "" Fraudulent '' company. I have attached the XXXX  report showing they are telling XXXX to keep this false information on my credit report illegally, according to the "" Fair Debt Collections Practices Act ''. I am requesting to have this information forwarded to "" the Attorney General 's Office, and to forward to Federal Trade Commission immediately."
3424418,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,GA,Web,Yes,N/A,2019-10-31,financial_harm,1004,"I have contacted this bureau multiple times requesting an investigation to verify the debt and ask who opened and signed for these accounts. I also ask them to remove these fraudulent accounts reporting in my consumer file that do not belong to me. They have not mailed me any results and have yet to contact me regarding this matter. They are not cooperating with me at all. The accounts listed below were opened in result of identity theft. It is hindering me from obtaining credit and I need this removed asap. The accounts are listed here below. XXXX   XXXX XXXX : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX ( XXXX, XXXX ) XXXX/XXXX : XXXX XXXX/XXXX : XXXX XXXX XXXX/XXXX : XXXX XXXX/XXXX XXXX XXXX XXXX XXXX XXXX : XXXX XXXX XXXX/XXXX XXXX : XXXX XXXX : XXXX Dept of ED : XXXX ( XXXX ), ( XXXX ), ( XXXX ), ( XXXX ), ( XXXX ) Bankruptcy XXXX XXXX XXXX : XXXX XXXX  : XXXX XXXX/XXXX XXXX Dept of Ed : XXXX XXXX   XXXX/XXXX XXXX : XXXX, XXXX XXXX XXXX : XXXX, XXXX XXXX XXXX XXXX : XXXX XXXX XXXX : XXXX."
3402897,Debt collection,Other debt,Communication tactics,"You told them to stop contacting you, but they keep trying","Diversified Adjustment Service, Inc.",NY,Web,Yes,N/A,2019-10-11,financial_harm,1163,I have already had to file a complaint against diversified adjustment service with the BBB because they were threatening my credit report and refused to allow me to dispute a debt they keep calling me over. I advised them I am disputing the debt and they will not allow me to do so. Now they constantly call my phone to harass me. I have told them 4xs now to stop calling my phone and they will not. This is harassment and I want it to stop. I just called XXXX XXXX today and advised XXXX the third party they sent information to is harassing me and I want it to stop as I have been making monthly payments to XXXX XXXX for a past due balance. XXXX XXXX  gets $ XXXX as we originally agreed to before they placed my account in collections and I am now being harassed and it is against the FDCPA to continue to call and harass a consumer after they are told to stop and after I advised them I am disputing the debt. They are to not call me for 30 days while they investigate the dispute in which they have failed to do. I want a validation and verification of debt from Diversified Adjustment and I want them to stop harassing me. I have already asked 4xs to stop.
8873634,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,CAPITAL ONE FINANCIAL CORPORATION,MA,Web,Yes,N/A,2024-04-28,financial_harm,1082,"On or about XX/XX/XXXX, I noticed there were at least 13 unauthorized charges on my checking account. These charges were made once per month dating back to at least XXXX of XXXX in the amount of {$29.00} each. The name of the vendor changed each month so it was difficult to detect and I did not recognize any of them. I then called Capital One to initiate a dispute. Capital One then gave me a provisional credit for each charge including interest. However on XX/XX/XXXX without my knowledge or consent, Capital One reversed 3 of those credits for the fraudulent charges for the amount of {$29.00} each, totaling {$89.00}. I did not not receive any explanation as to why these credits were reversed. These charges were fraudulent and not authorized by me so Capital One should refund the money. It is very concerning to have your money stolen not only by thieves but also by the bank itself. The charges in question which you can see on the attached statement are for XXXX XXXX, XXXX, XXXX, and XXXX. I did not use any of these services or ever authorize payments to these vendors."
