date_received,total_complaints,untimely_count
2015-03-19,216,7
2015-03-20,194,5
2015-03-21,101,5
2015-03-22,69,1
2015-03-23,209,4
2015-03-24,253,10
2015-03-25,244,7
2015-03-26,222,4
2015-03-27,208,6
2015-03-28,97,2
2015-03-29,86,3
2015-03-30,218,10
2015-03-31,258,8
2015-04-01,216,10
2015-04-02,184,3
2015-04-03,173,9
2015-04-04,99,1
2015-04-05,52,0
2015-04-06,197,8
2015-04-07,249,11
2015-04-08,207,11
2015-04-09,187,7
2015-04-10,194,6
2015-04-11,106,3
2015-04-12,69,4
2015-04-13,185,4
2015-04-14,214,11
2015-04-15,213,10
2015-04-16,225,7
2015-04-17,171,5
2015-04-18,101,5
2015-04-19,81,2
2015-04-20,205,6
2015-04-21,264,13
2015-04-22,255,12
2015-04-23,199,13
2015-04-24,200,7
2015-04-25,95,8
2015-04-26,93,1
2015-04-27,212,6
2015-04-28,262,13
2015-04-29,265,10
2015-04-30,203,6
2015-05-01,208,8
2015-05-02,119,5
2015-05-03,71,4
2015-05-04,183,3
2015-05-05,224,7
2015-05-06,214,9
2015-05-07,224,6
2015-05-08,207,6
2015-05-09,78,1
2015-05-10,78,3
2015-05-11,207,8
2015-05-12,278,10
2015-05-13,245,12
2015-05-14,266,10
2015-05-15,237,15
2015-05-16,95,2
2015-05-17,72,3
2015-05-18,202,17
2015-05-19,276,13
2015-05-20,308,11
2015-05-21,261,11
2015-05-22,220,8
2015-05-23,83,0
2015-05-24,67,1
2015-05-25,91,2
2015-05-26,215,6
2015-05-27,282,12
2015-05-28,227,6
2015-05-29,216,8
2015-05-30,114,3
2015-05-31,75,1
2015-06-01,207,6
2015-06-02,264,9
2015-06-03,215,6
2015-06-04,222,8
2015-06-05,237,8
2015-06-06,101,2
2015-06-07,57,2
2015-06-08,209,1
2015-06-09,264,6
2015-06-10,255,15
2015-06-11,248,9
2015-06-12,239,14
2015-06-13,86,1
2015-06-14,72,0
2015-06-15,219,6
2015-06-16,275,15
2015-06-17,247,9
2015-06-18,243,9
2015-06-19,188,7
2015-06-20,117,1
2015-06-21,53,1
2015-06-22,181,9
2015-06-23,239,11
2015-06-24,243,14
2015-06-25,238,9
2015-06-26,252,14
2015-06-27,103,4
2015-06-28,105,2
2015-06-29,250,7
2015-06-30,275,11
2015-07-01,241,6
2015-07-02,206,4
2015-07-03,142,4
2015-07-04,64,2
2015-07-05,57,2
2015-07-06,241,13
2015-07-07,310,10
2015-07-08,270,14
2015-07-09,297,6
2015-07-10,296,7
2015-07-11,128,4
2015-07-12,100,3
2015-07-13,264,6
2015-07-14,277,11
2015-07-15,307,10
2015-07-16,247,10
2015-07-17,224,14
2015-07-18,125,5
2015-07-19,106,2
2015-07-20,219,11
2015-07-21,298,11
2015-07-22,294,12
2015-07-23,248,5
2015-07-24,221,6
2015-07-25,124,4
2015-07-26,73,1
2015-07-27,246,6
2015-07-28,240,14
2015-07-29,277,10
2015-07-30,246,6
2015-07-31,239,11
2015-08-01,147,4
2015-08-02,103,0
2015-08-03,234,10
2015-08-04,272,10
2015-08-05,260,8
2015-08-06,281,9
2015-08-07,237,12
2015-08-08,173,5
2015-08-09,112,0
2015-08-10,227,5
2015-08-11,267,13
2015-08-12,288,10
2015-08-13,218,7
2015-08-14,223,10
2015-08-15,108,7
2015-08-16,94,1
2015-08-17,224,10
2015-08-18,313,8
2015-08-19,236,8
2015-08-20,245,10
2015-08-21,238,5
2015-08-22,129,3
2015-08-23,109,2
2015-08-24,232,8
2015-08-25,308,15
2015-08-26,234,6
2015-08-27,292,7
2015-08-28,229,13
2015-08-29,110,1
2015-08-30,95,1
2015-08-31,214,9
2015-09-01,260,3
2015-09-02,229,13
2015-09-03,205,5
2015-09-04,176,3
2015-09-05,115,4
2015-09-06,69,6
