complaint_id,product,sub_product,issue,sub_issue,company,channel,state,timely_response,consumer_disputed,reason_code,matched_phrase,sentence_snippet,narrative_preview,narrative_length
3377713,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,"EQUIFAX, INC.",Web,NY,Yes,N/A,identity_theft_signal,identity theft,I Mr.XXXX XXXX is a victim of identity theft and accounts have been opened in my name as a result of identity theft ...,"I Mr.XXXX XXXX is a victim of identity theft and accounts have been opened in my name as a result of identity theft ... 
XXXX  XXXX account # XXXXxxxxxxxxxxx opened XX/XX/XXXX amount {$23000.00}. 
Next account XXXX  XXXX original creditor XXXX XX/XX/XXXX amount {$750.00} And there is Inquiries : XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX/XXXX XX/XX/XXXX",369
3424418,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,GA,Yes,N/A,identity_theft_signal,identity theft,The accounts listed below were opened in result of identity theft.,"I have contacted this bureau multiple times requesting an investigation to verify the debt and ask who opened and signed for these accounts. I also ask them to remove these fraudulent accounts reporting in my consumer file that do not belong to me. They have not mailed me any results and have yet to contact me regarding this matter. They are not cooperating with me at all. The accounts listed below were opened in result of identity theft. It is hindering me from obtaining credit and I need this removed asap. The accounts are listed here below. XXXX   XXXX XXXX : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX ( XXXX, XXXX ) XXXX/XXXX : XXXX XXXX/XXXX : XXXX XXXX XXXX/XXXX : XXXX XXXX/XXXX XXXX XXXX XXXX XXXX XXXX : XXXX XXXX XXXX/XXXX XXXX : XXXX XXXX : XXXX Dept of ED : XXXX ( XXXX ), ( XXXX ), ( XXXX ), ( XXXX ), ( XXXX ) Bankruptcy XXXX XXXX XXXX : XXXX XXXX  : XXXX XXXX/XXXX XXXX Dept of Ed ",1004
8169505,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,,Yes,N/A,identity_theft_signal,identity theft,This is my first endeavor to tell you that I am a victim of identity theft and I complain to question specific records in my document coming about because of the wrongdoing.,"This is my first endeavor to tell you that I am a victim of identity theft and I complain to question specific records in my document coming about because of the wrongdoing. The records I am questioning connect with no exchanges acquiring any possession of goods, services or money that I have made or authorized. Assuming no one cares either way, block the noteworthy of any information in my credit record that came about due to an alleged fraud or extortion. 
XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX, FL XXXX XXXX XXXXXXXX XXXX XXXX XXXXXXXX, FL XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX, FL XXXX XXXX XXXX XXXX, FL XXXX XXXX XXXX XXXX, FL XXXX XXXX XXXX XXXX XXXX XXXXXXXX, FL XXXX XXXX XXXX XXXXXXXX XXXX XXXX  FL XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX, FL XXXX XXXX XXXX XXXX Balance Owed : {$0.00} XXXX XXXX XXXX Balance Owed : {$7400.00} XXXX XXXX XXXX XXXX XXXX Balance Owed :",1108
3191826,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",Web,NM,Yes,N/A,identity_theft_signal,identity theft,"Hi, I am a victim of identity theft, and I am requesting that all of the information be removed or blocked immediately.","Hi, I am a victim of identity theft, and I am requesting that all of the information be removed or blocked immediately. The attached report from identitytheft.gov is included.",175
3407631,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,"I.Q. DATA INTERNATIONAL, INC.",Web,NV,Yes,N/A,identity_theft_signal,identity theft,"I have tried disputing this information with XXXX, i have filed an identity theft report, filed multiple disputes on this collection account.","There was an account opened under my name some time in 2017, the original creditor was XXXX XXXX XXXX, it has now turned into a collection agency with a company named I.Q Data Internatio XXXX XXXX   XXXX, XXXX, WA XXXX. I have tried disputing this information with XXXX, i have filed an identity theft report, filed multiple disputes on this collection account. And they still won't remove it from my credit report. I even tried calling the collection agency my self, and they were nasty rude people, they did not care about anything else but their money, even when i told them that it wasnt my account.",603
3405469,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"EQUIFAX, INC.",Web,NY,Yes,N/A,identity_theft_signal,identity theft,"I am a victim of identity theft as stated before, and I am NOT a credit repair agency.","I am a victim of identity theft as stated before, and I am NOT a credit repair agency.",86
8063160,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",Web,FL,Yes,N/A,identity_theft_signal,identity theft,I have complained about identity theft on several different occasions.,"I have complained about identity theft on several different occasions. If you can provide the following, you must erase or block any things that were opened without my knowledge, authorization, or authority within four business days : ( 1 ) Appropriate identity documentation ; ( 2 ) a copy of an identity theft report ; ( 3 ) the customer 's identification of the pertinent data ; and ( 4 ) a customer declaration indicating that the data is unconnected to any transactions. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX",705
3233732,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Difficulty submitting a dispute or getting information about a dispute over the phone,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,FL,Yes,N/A,identity_theft_signal,identity theft,"In special with XXXX, I filed a dispute, notified them of the identity theft back in XX/XX/XXXX, printed a report with the information and as of today, XX/XX/XXXX my credit is still showing the derogatory information.","I had my identity stolen in XX/XX/XXXX. The thieves opened 2 credit line accounts with XXXX XXXX. I found out in XX/XX/XXXX. Had a police report made and notified the the 3 Credit Bureaus. All of them is such a difficult thing to get help. almost impossible. The websites aren't clear as to what to do. The numbers they provide are not right, as they are automated and no way to speak to a person. In special with XXXX, I filed a dispute, notified them of the identity theft back in XX/XX/XXXX, printed a report with the information and as of today, XX/XX/XXXX my credit is still showing the derogatory information. 
It is absurd what a person has to go through after being victimized by thieves. Something needs to be done about these companies. Trans Union is the same thing. I notified the 3 of the fraud, yet, I had to spend the day talking to them.",853
3412181,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,FL,Yes,N/A,identity_theft_signal,identity theft,"Except as otherwise provided in this section, a consumer reporting agency shall block the reporting of any information in the file of a consumer that the consumer identifies as information that resulted from an alleged identity theft, not later than 4 business days after the date of receipt by such agency of ( 1 ) appropriate proof of the identity of the consumer ; ( 2 ) a copy of an identity theft report ; ( 3 ) the identification of such inform","Remove all inquiries which are not mine ( a ) Block. Except as otherwise provided in this section, a consumer reporting agency shall block the reporting of any information in the file of a consumer that the consumer identifies as information that resulted from an alleged identity theft, not later than 4 business days after the date of receipt by such agency of ( 1 ) appropriate proof of the identity of the consumer ; ( 2 ) a copy of an identity theft report ; ( 3 ) the identification of such information by the consumer ; and ( 4 ) a statement by the consumer that the information is not information relating to any transaction by the consumer. ( b ) Notification. A consumer reporting agency shall promptly notify the furnisher of information identified by the consumer under subsection ( a ) of this section ( 1 ) that the information may be a result of identity theft ; ( 2 ) that an identity",4786
3692906,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"I.C. System, Inc.",Web,FL,Yes,N/A,identity_theft_signal,IDENTITY THEFT,Either I am a victim of IDENTITY THEFT or I C System is fraudulently attempting to collect a balance that is NOT DUE.,"XXXX  Credit Monitoring notified me of I C System incorrectly reporting a {$700.00} collection account when I have never even heard of I C System. I have never received a single phone call or a single letter from I C System. This, of course, is in direct violation of the FCRA. 

I C System reports XXXX as the original creditor to XXXX. This is entirely FALSE. I have never once been late with my XXXX  account which has always been in GOOD STANDING. 

In fact, {$0.00} balance is due as the actual balance of only {$6.00} which was not due until XX/XX/20 has already been PAID IN FULL more than two weeks in advance. The next regular bill is NOT DUE UNTIL XX/XX/20. 

Either I am a victim of IDENTITY THEFT or I C System is fraudulently attempting to collect a balance that is NOT DUE. 

I called the number that XXXX  provided for I C System and no live person answers. A recorded message repeated",1319
