complaint_id,product,sub_product,issue,sub_issue,company,channel,state,timely_response,consumer_disputed,reason_code,matched_phrase,sentence_snippet,narrative_preview,narrative_length
3569824,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,AR,Yes,N/A,loan_or_mortgage_issue,loan,After carefully consideration I decided to apply for a loan for this car.,"I was recently going to check out a new car at XXXX. After carefully consideration I decided to apply for a loan for this car. Moments later I was decline for a lower interest rate and approved for an extremely high interest rate. Which promoted me to check my credit report. After doing so I notice a couple of items on my report that are not mine. These items need to be deleted from my credit report. 

XXXX XXXX XXXX {$140.00} XXXX  XXXX {$450.00} XXXX XXXX XXXX {$7800.00} XXXX   XXXX  XXXX {$370.00} XXXX XXXX {$10000.00}",527
3401796,Debt collection,Mortgage debt,Communication tactics,"You told them to stop contacting you, but they keep trying","SELECT PORTFOLIO SERVICING, INC.",Web,VA,Yes,N/A,loan_or_mortgage_issue,Servicing,"SPS Select Portfolio Servicing of XXXX XXXX XXXX, UT appears to be a debt collection agency, who started a systematic harassment by mail debt collection campaign against wife, XXXX XXXX.","SPS Select Portfolio Servicing of XXXX XXXX XXXX, UT appears to be a debt collection agency, who started a systematic harassment by mail debt collection campaign against wife, XXXX XXXX. 

This harassment following a failed foreclosure attempt over the past 2 years ( XXXX-XXXX ) by XXXX XXXX XXXX and their attorneys ( XXXX ) over a 2nd Mortgage default loan by XXXX, approximately 10 Years ago. 

During XXXX-XXXX time period of XXXX/XXXX ( attempt to foreclose on our residence, XXXX XXXX XXXX, XXXX, VA XXXX, on legal advice & assistance of Mr. XXXX XXXX, Attorney, XXXX XXXX, VA, both myself, XXXX XXXX, and wife, XXXX, entered Chapter XXXX Trustee Protection, twice, that prevented the foreclosure attempt by XXXX/XXXX legal agent.",737
3358661,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"MARINER FINANCE, LLC",Web,MS,Yes,N/A,loan_or_mortgage_issue,loan,"On XX/XX/XXXX, I received a personal loan from the XXXX XXXX, XXXX branch of XXXX XXXX XXXX.","On XX/XX/XXXX, I received a personal loan from the XXXX XXXX, XXXX branch of XXXX XXXX XXXX. On XX/XX/XXXX, my wife and I filed Chapter XXXX Bankruptcy which included that loan. The bankruptcy was completed on XX/XX/XXXX, and the loan is being properly listed on my credit report as Chapter XXXX Bankruptcy. 

However there is another loan listed on my credit report under Mariner Finance. It was also reportedly issued on XX/XX/XXXX, with a last payment made date of XX/XX/XXXX, the exact dates reported by XXXX XXXX XXXX. This loan is being reported as Unpaid Balance Charged Off. I have never applied for or received a loan from Mariner Finance, and certainly did not apply for or receive two entirely different loans on XX/XX/XXXX, as is currently claimed on my credit report. 

In XX/XX/XXXX, XXXX XXXX XXXX merged with Mariner Finance , LLC and on XX/XX/XXXX, the company became known as Marine",2342
3619130,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,RUSHMORE LOAN MANAGEMENT SERVICES LLC,Web,AL,Yes,N/A,loan_or_mortgage_issue,Loan,Rushmore Loan management XXXX will not permit applying for loan modification online and direct you to call.,"Rushmore Loan management XXXX will not permit applying for loan modification online and direct you to call. However, they do not answer the phone and the phone directs you to go online. 

I have spent hours trying to reach this company to no avail. Many times they tell you to call back during business hours but it is during business hours. 
Rushmore recently bought my loan from XXXX and they are a sham! 

They need to be required to staff appropriately to meet the needs of their customers during this critical time. 

It is unacceptable to just ignore refinancing, loan modification and other needs of customers.",617
3115907,Mortgage,FHA mortgage,Closing on a mortgage,,Selene Finance LP,Web,GA,Yes,N/A,loan_or_mortgage_issue,mortgage,I closed out my mortgage loan with Selene Finance when I sold my former house on XX/XX/2018.,"I closed out my mortgage loan with Selene Finance when I sold my former house on XX/XX/2018. I was told by the closing attorney that Selene Finance would send me a check for the excess money in my escrow account within 20 days of closing. Selene Finance has confirmed that there was approximately {$4000.00} in my account but they have not sent it to me, despite numerous attempts to contact them.",397
3468245,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,FL,Yes,N/A,loan_or_mortgage_issue,loan,there is a XXXX student loan servicing account that was placed on my credit report that does not belong to me.,there is a XXXX student loan servicing account that was placed on my credit report that does not belong to me. I am not in school. this account belongs to someone else. I do not have any student loans.,201
3739321,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,,TCF NATIONAL BANK,Web,MN,Yes,N/A,loan_or_mortgage_issue,loan,I had a HELOC loan with TCF bank that sold my loan to XXXX XXXX  XXXX  back in XXXX of this year.,"This complaint is for TCF, Identical complaint filed for XXXX XXXX XXXX There are two lenders involved in my complaint. I had a HELOC loan with TCF bank that sold my loan to XXXX XXXX  XXXX  back in XXXX of this year. This loan was actually converted to a long term loan many months earlier and we no longer have the ability to draw on that loan according to our agreement. Before even making our first payment with our new loan servicer they reached out to us looking for the first payment in XXXX. I explained XXXX 's payment was made with the first loan servicer and we have sent them proof of that payment. Each month we pay the same amount to them as we did our previous loan despite requests for different payment amounts each month, asking for mostly smaller amounts. We have made several attempts to provide XXXX  with documentation that this payment was made and that we were current as of t",1558
3244458,Mortgage,Conventional home mortgage,Trouble during payment process,,"CARRINGTON MORTGAGE SERVICES, LLC",Web,NY,Yes,N/A,loan_or_mortgage_issue,mortgage,This is in reference to COMPLAINT ID XXXX SUBMITTED ON XX/XX/XXXX Concerning Carrington 's  mismanagement of resolving mortgage assignments and recordings for a partial lien release.,"This is in reference to COMPLAINT ID XXXX SUBMITTED ON XX/XX/XXXX Concerning Carrington 's  mismanagement of resolving mortgage assignments and recordings for a partial lien release. The closing for the property was to be XX/XX/XXXX. Because of the delay the buyer backed out of the sale of the vacant lot, {$35000.00}. My attorney did not receive the paperwork releasing the lien until XXXX of XXXX. XXXX XXXX",410
3460004,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,CAPITAL ONE FINANCIAL CORPORATION,Web,CA,Yes,N/A,loan_or_mortgage_issue,loan,This particular account situation that is lately filing on my own credit document has a seriously unfavorable relation to my personal ability to obtain a present loan application.,"This particular account situation that is lately filing on my own credit document has a seriously unfavorable relation to my personal ability to obtain a present loan application. I highly recommend you generate verification that Credit Union has been reported completely in accordance with the Fair Credit Reporting Act regulations, it's really a serious problem to misreport. Moreconfirmation of the aforesaid item too. My proper request mustover, I was never 30 days/60 days/120 days late in any of my payments and I'm not greatly tuned in to the date opened so I prefer to ask you be investigated as soon as possible and confirmed to be correct. Thanks!",657
3743391,Mortgage,FHA mortgage,Trouble during payment process,,"SAMC Honebee TRS, LLC",Web,AL,Yes,N/A,loan_or_mortgage_issue,mortgage,"I currently have my mortgage with GMFS, serviced by XXXX XXXX XXXX XXXX.","I currently have my mortgage with GMFS, serviced by XXXX XXXX XXXX XXXX. I have had continuous problems over the past several months. On XX/XX/2020 I inquired through their web portal about any assistance being offered during the COVID-19 pandemic. I received a response back on XX/XX/2020 advising me of the terms and conditions of a forbearance program and that my account may be eligible. After reviewing the terms and conditions I responded back via the web portal on XX/XX/2020 advising I would not be interested in taking advantage of the forbearance. On XX/XX/2020 I received a response from XXXX XXXX XXXX advising a request had been put in to stop the forbearance. 
I made my payment as scheduled for XXXX ; however, I received a robocall within a couple of days advising my forbearance had been approved. I signed on and noticed the payment I made did not apply towards my monthly payments ",2799
