complaint_id,product,sub_product,issue,sub_issue,company,channel,state,timely_response,consumer_disputed,reason_code,matched_phrase,sentence_snippet,narrative_preview,narrative_length
3642453,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,NV,Yes,N/A,low_confidence_candidate,These are not my accounts.,These are not my accounts.,These are not my accounts.,26
3584679,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Keep getting calls about your loan,"Navient Solutions, LLC.",Web,CA,Yes,N/A,low_confidence_candidate,They call at all hours and on the weekends using various numbers.,They call at all hours and on the weekends using various numbers.,They call at all hours and on the weekends using various numbers.,65
3204898,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"EQUIFAX, INC.",Web,MS,Yes,N/A,low_confidence_candidate,INQUIRIES / Hard pulls/Negative Also without my permission from XXXX XXXX on XXXX XXXX and Equifax XXXX XXXX XXXX XXXX,INQUIRIES / Hard pulls/Negative Also without my permission from XXXX XXXX on XXXX XXXX and Equifax XXXX XXXX XXXX XXXX,INQUIRIES / Hard pulls/Negative Also without my permission from XXXX XXXX on XXXX XXXX and Equifax XXXX XXXX XXXX XXXX,118
3405469,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"EQUIFAX, INC.",Web,NY,Yes,N/A,low_confidence_candidate,"I am a victim of identity theft as stated before, and I am NOT a credit repair agency.","I am a victim of identity theft as stated before, and I am NOT a credit repair agency.","I am a victim of identity theft as stated before, and I am NOT a credit repair agency.",86
3545909,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,PA,Yes,N/A,low_confidence_candidate,I recently reviewed my credit profile and noticed inaccuracies and false accusations and fraudulent accounts.,I recently reviewed my credit profile and noticed inaccuracies and false accusations and fraudulent accounts.,I recently reviewed my credit profile and noticed inaccuracies and false accusations and fraudulent accounts.,109
3279578,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,Experian Information Solutions Inc.,Web,NY,Yes,N/A,low_confidence_candidate,Unauthorized and unverified accounts appear on my credit report,Unauthorized and unverified accounts appear on my credit report,Unauthorized and unverified accounts appear on my credit report,63
3490982,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,Experian Information Solutions Inc.,Web,IL,Yes,N/A,low_confidence_candidate,Experian is reporting the following items inaccurately ( see enclosed ). This violates the FCRA.,Experian is reporting the following items inaccurately ( see enclosed ). This violates the FCRA.,Experian is reporting the following items inaccurately ( see enclosed ). This violates the FCRA.,96
3683188,Checking or savings account,Checking account,Managing an account,Problem making or receiving payments,PNC Bank N.A.,Web,OH,Yes,N/A,low_confidence_candidate,I'm trying to set up direct deposit with my new job.,I'm trying to set up direct deposit with my new job.,I'm trying to set up direct deposit with my new job.,52
3580405,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,FL,Yes,N/A,low_confidence_candidate,Unverified and unauthorized accounts and inquiries appear on my credit report,Unverified and unauthorized accounts and inquiries appear on my credit report,Unverified and unauthorized accounts and inquiries appear on my credit report,77
3567623,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,CA,Yes,N/A,low_confidence_candidate,I recently reviewed my credit profile and noticed inaccuracies and false accusations and fraudulent accounts.,I recently reviewed my credit profile and noticed inaccuracies and false accusations and fraudulent accounts.,I recently reviewed my credit profile and noticed inaccuracies and false accusations and fraudulent accounts.,109
3535507,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,TX,Yes,N/A,low_confidence_candidate,XXXX can financial hippa violations or ftc or both,XXXX can financial hippa violations or ftc or both,XXXX can financial hippa violations or ftc or both,50
3530225,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian Information Solutions Inc.,Web,TN,Yes,N/A,low_confidence_candidate,Having problems with XXXX removing inaccurate accounts form my consumer report.,Having problems with XXXX removing inaccurate accounts form my consumer report.,Having problems with XXXX removing inaccurate accounts form my consumer report.,79
3445413,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",Web,NV,Yes,N/A,low_confidence_candidate,These 3 accounts are not mine ... not sure who's they are. Please remove them.,These 3 accounts are not mine ... not sure who's they are. Please remove them.,These 3 accounts are not mine ... not sure who's they are. Please remove them.,78
3508680,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,Phoenix Financial Services LLC,Web,VA,Yes,N/A,low_confidence_candidate,Collections account reported on my credit report that is not mine.,Collections account reported on my credit report that is not mine.,Collections account reported on my credit report that is not mine.,66
3499332,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,CAPITAL ONE FINANCIAL CORPORATION,Web,PA,Yes,N/A,low_confidence_candidate,On XX/XX/2019 Lord and Taylor Submitted a hard inquiry on my credit report without my authorization.,On XX/XX/2019 Lord and Taylor Submitted a hard inquiry on my credit report without my authorization.,On XX/XX/2019 Lord and Taylor Submitted a hard inquiry on my credit report without my authorization.,100
3421433,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Experian Information Solutions Inc.,Web,NY,Yes,N/A,low_confidence_candidate,Unauthorized inquires on my credit report,Unauthorized inquires on my credit report,Unauthorized inquires on my credit report,41
8144921,Debt collection,Medical debt,Written notification about debt,Didn't receive notice of right to dispute,"Healthcare Collections-I, LLC",Web,AZ,Yes,N/A,low_confidence_candidate,Requested break down of charges and was not provided with them - also reporting agency had inaccurate information,Requested break down of charges and was not provided with them - also reporting agency had inaccurate information,Requested break down of charges and was not provided with them - also reporting agency had inaccurate information,113
3741656,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"EQUIFAX, INC.",Web,FL,Yes,N/A,low_confidence_candidate,This collection was paid by XXXX.,This collection was paid by XXXX.,This collection was paid by XXXX.,33
8212553,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,Experian Information Solutions Inc.,Web,NM,Yes,N/A,low_confidence_candidate,I believe this account is a fraud XXXX XXXX XXXX XXXX XXXX.,I believe this account is a fraud XXXX XXXX XXXX XXXX XXXX.,I believe this account is a fraud XXXX XXXX XXXX XXXX XXXX.,59
7989133,Credit card,General-purpose credit card or charge card,Incorrect information on your report,Account status incorrect,DISCOVER BANK,Web,CA,Yes,N/A,low_confidence_candidate,ACCOUNT CLOSED BY XXXX XXXX but it says pays as agreed.,ACCOUNT CLOSED BY XXXX XXXX but it says pays as agreed.,ACCOUNT CLOSED BY XXXX XXXX but it says pays as agreed.,55
3257934,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"SELLING SOURCE, LLC",Web,FL,Yes,N/A,low_confidence_candidate,ftc violation sent to creditors about my inquires they had over 30 days to fix it,ftc violation sent to creditors about my inquires they had over 30 days to fix it,ftc violation sent to creditors about my inquires they had over 30 days to fix it,81
3731974,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",Web,TX,Yes,N/A,low_confidence_candidate,XXXX XXXX and XXXX showing as account to me / FTC violations not known to me best of my knowledge,XXXX XXXX and XXXX showing as account to me / FTC violations not known to me best of my knowledge,XXXX XXXX and XXXX showing as account to me / FTC violations not known to me best of my knowledge,97
3562804,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,CA,Yes,N/A,low_confidence_candidate,I just got my credit report from my mortgage lender and noticed a few errors reporting to my credit file,I just got my credit report from my mortgage lender and noticed a few errors reporting to my credit file,I just got my credit report from my mortgage lender and noticed a few errors reporting to my credit file,104
3644694,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,IL,Yes,N/A,low_confidence_candidate,Remove the Bankruptcy,Remove the Bankruptcy,Remove the Bankruptcy,21
3653243,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,AR,Yes,N/A,low_confidence_candidate,"I have some new inquiries that I did not authorized and would like them removed. XXXX, XXXX XXXX, XXXX.","I have some new inquiries that I did not authorized and would like them removed. XXXX, XXXX XXXX, XXXX.","I have some new inquiries that I did not authorized and would like them removed. XXXX, XXXX XXXX, XXXX.",103
3586214,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,CA,Yes,N/A,low_confidence_candidate,reporting inaccurate information based school closure and refuse to remove.,reporting inaccurate information based school closure and refuse to remove.,reporting inaccurate information based school closure and refuse to remove.,75
3632250,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,NV,Yes,N/A,low_confidence_candidate,"These are not my accounts, addresses and name. Additionally, I did not authorize these companies to run my credit.","These are not my accounts, addresses and name. Additionally, I did not authorize these companies to run my credit.","These are not my accounts, addresses and name. Additionally, I did not authorize these companies to run my credit.",114
3526250,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,"Navient Solutions, LLC.",Web,NV,Yes,N/A,low_confidence_candidate,"Navient XX/XX/2006 XXXX $ Navient XX/XX/2006 XXXX  $ School closed down, paid in full, still being reported as open.","Navient XX/XX/2006 XXXX $ Navient XX/XX/2006 XXXX  $ School closed down, paid in full, still being reported as open.","Navient XX/XX/2006 XXXX $ Navient XX/XX/2006 XXXX  $ School closed down, paid in full, still being reported as open.",116
3230895,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,"EQUIFAX, INC.",Web,LA,Yes,N/A,low_confidence_candidate,Failure to update balance,Failure to update balance,Failure to update balance,25
3457139,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,CA,Yes,N/A,low_confidence_candidate,I am a victim of identity theft.,I am a victim of identity theft.,I am a victim of identity theft.,32
