product,total,fee_dispute,unauthorized_transaction,refund_dispute,delayed_response,identity_theft_signal,credit_reporting_issue
Credit reporting or other personal consumer reports,1669637,197317,294003,7535,108168,301378,1061875
"Credit reporting, credit repair services, or other personal consumer reports",807247,66726,99599,3181,82300,107895,457950
Debt collection,422840,64702,33398,5242,45027,28759,154892
Checking or savings account,176942,50235,20657,28868,36466,4465,3135
Mortgage,142617,35169,2675,11663,50209,580,13082
Credit card,117372,49363,10811,14011,25594,3830,20728
"Money transfer, virtual currency, or money service",115800,11105,7145,18066,14879,915,606
Credit card or prepaid card,108665,43528,8478,13935,26994,2961,17663
Student loan,60672,9157,1617,4437,17154,634,8086
Vehicle loan or lease,50170,15074,1814,3664,13807,960,10315
Credit reporting,31587,3057,3059,354,4216,1847,24317
"Payday loan, title loan, or personal loan",17227,4996,573,1125,4159,337,2630
"Payday loan, title loan, personal loan, or advance loan",16073,4907,882,1873,3473,337,2191
Bank account or service,14883,6382,996,1912,3600,353,645
Prepaid card,10920,2149,1117,2165,2089,186,132
Consumer Loan,9458,2762,233,463,2563,101,2101
Debt or credit management,4938,1433,324,575,921,136,1349
Payday loan,1745,583,60,50,296,26,144
Money transfers,1497,382,61,442,281,9,8
Other financial service,292,111,6,81,88,6,37
Virtual currency,16,0,0,1,2,0,0
 Amex disregarded the merchants failure to uphold their published terms,1,0,0,0,0,0,0
 I spent hours trying to resolve this matter. I want Truist Bank to remove the force-placed insurance,1,0,0,0,0,0,0
 -- XXXX XXXX XXXX,1,0,0,0,0,0,0
 which I dispute as inaccurate and unverifiable. A charge-off is a serious derogatory item,1,1,0,0,0,0,0
 with multiple balances due that do not match the alleged charge off amount of {$3800.00}. ( See attached Settlement Agreements and Collection Notices ) 5. Proof of Personal Knowledge : To meet its burden,1,0,0,0,0,0,0
 and unfair credit reporting methods undermine the public confidence,1,0,0,0,0,1,0
