sub_product,count
Credit reporting,2454764
General-purpose credit card or charge card,169125
Checking account,156012
I do not know,131890
Other debt,80730
Credit card debt,79148
Conventional home mortgage,65196
Domestic (US) money transfer,62620
Loan,42434
Federal student loan servicing,41681
Medical debt,38091
Mobile or digital wallet,29793
Store credit card,28436
FHA mortgage,26714
Other personal consumer report,19306
Installment loan,19186
Auto debt,16730
Savings account,14658
Conventional fixed mortgage,14557
Other banking product or service,14478
Private student loan,13238
Telecommunications debt,12513
"Other (i.e. phone, health club, etc.)",12376
Virtual currency,12369
Rental debt,12240
VA mortgage,11693
General-purpose prepaid card,10378
Payday loan,9085
Payday loan debt,8843
Lease,7707
Credit card,7509
International money transfer,7506
Medical,6976
Personal line of credit,6601
Non-federal student loan,6437
Home equity loan or line of credit (HELOC),6226
Government benefit card,5807
Other type of mortgage,5687
Vehicle loan,5138
Conventional adjustable mortgage (ARM),4975
Credit repair services,4829
Mortgage debt,4521
Other bank product/service,3476
Other mortgage,3236
Title loan,3195
Debt settlement,3181
Private student loan debt,3036
Federal student loan debt,2979
CD (Certificate of Deposit),2758
Home equity loan or line of credit,2102
Gift card,1933
Reverse mortgage,1503
Check cashing service,1323
Payroll card,1182
"Money order, traveler's check or cashier's check",1150
Auto,1064
Vehicle lease,960
Mortgage,907
Foreign currency exchange,821
General purpose card,730
Federal student loan,549
Traveler's check or cashier's check,544
Refund anticipation check,417
Money order,412
Manufactured home loan,381
USDA mortgage,348
Other advances of future income,309
(CD) Certificate of deposit,274
Mortgage modification or foreclosure avoidance,204
Earned wage access,189
Gift or merchant card,154
Pawn loan,147
Cashing a check without an account,134
ID prepaid card,101
Mobile wallet,85
Government benefit payment card,80
Student loan debt relief,72
Other special purpose card,58
Check cashing,54
Credit repair,39
Tax refund anticipation loan or check,30
Student prepaid card,29
Traveler’s/Cashier’s checks,22
Transit card,19
Electronic Benefit Transfer / EBT card,3
 XXXX,1
 and the FCRA XXXX ( b ) requires that such information must meet maximum accuracy standards. At this time,1
 effectively holding me financially liable for a service that XXXX denied me the ability to use. This decision,1
 remove any liens,1
 the proof submitted by LVNV Funding LLC must be based on personal knowledge. Personal knowledge means that the person offering the evidence on behalf of LVNV Funding LLC must be a witness to the event shown in a particular document. The person offering the evidence must have personal knowledge of how the information got there,1
 which is essential to the continued functioning of the banking system. So whenever there is a violation under the FCRA,1
