value,count
XXXXX,180425
604XX,11890
770XX,11165
30349,7576
331XX,7331
752XX,6926
303XX,6627
631XX,6429
190XX,5925
070XX,5922
601XX,5704
751XX,5327
283XX,5303
352XX,5258
761XX,5256
30331,5243
33025,5216
295XX,4999
77449,4850
30318,4817
117XX,4678
080XX,4615
60620,4546
33311,4464
28269,4454
76123,4441
30253,4376
191XX,4265
75052,4126
60628,4108
707XX,4075
30058,4056
310XX,4041
482XX,4014
19143,3992
774XX,3988
337XX,3957
30213,3946
328XX,3938
441XX,3887
334XX,3882
30281,3866
705XX,3847
322XX,3843
33169,3834
30016,3825
480XX,3793
152XX,3768
77494,3722
60619,3720
30228,3659
77084,3632
342XX,3613
206XX,3611
338XX,3519
60411,3514
30038,3488
33056,3411
33068,3373
33313,3370
902XX,3346
750XX,3290
483XX,3280
333XX,3266
291XX,3265
30135,3198
302XX,3175
33023,3155
344XX,3151
775XX,3150
290XX,3119
754XX,3107
60637,3106
30052,3100
77433,3094
782XX,3085
30034,3070
630XX,3066
088XX,3038
350XX,3036
60617,3030
335XX,2999
151XX,2994
28216,2975
339XX,2972
60409,2966
386XX,2964
75115,2962
77407,2961
75126,2922
11219,2885
30294,2878
273XX,2874
30096,2863
366XX,2836
28262,2829
076XX,2824
360XX,2817
641XX,2812
115XX,2805
77493,2798
60653,2788
452XX,2769
336XX,2759
150XX,2750
622XX,2747
296XX,2721
19120,2715
700XX,2708
76036,2691
760XX,2690
60643,2689
33162,2675
02301,2671
78660,2670
30238,2645
75154,2626
30127,2611
77583,2605
11236,2587
60615,2576
76063,2574
33319,2571
30043,2546
75104,2546
33065,2544
77459,2540
19138,2539
330XX,2530
30080,2524
77584,2509
77044,2503
29229,2492
293XX,2483
60644,2481
275XX,2478
30039,2467
30083,2457
19124,2456
278XX,2453
33024,2441
76140,2432
30044,2415
33161,2402
361XX,2373
19139,2344
19144,2338
21117,2335
60649,2323
32218,2318
210XX,2315
282XX,2306
109XX,2301
33020,2299
349XX,2290
708XX,2288
77396,2281
19131,2278
77077,2272
33178,2266
20019,2260
77346,2259
30339,2258
381XX,2232
464XX,2231
33147,2208
711XX,2205
11434,2204
11212,2203
19140,2203
30274,2201
30252,2195
35215,2192
30236,2187
30045,2182
20774,2180
75287,2180
30126,2179
323XX,2176
33027,2169
33179,2168
125XX,2163
787XX,2159
207XX,2151
33032,2150
30134,2137
105XX,2136
77082,2136
34953,2132
314XX,2129
30324,2124
76227,2124
77373,2119
79938,2113
701XX,2106
075XX,2091
60651,2086
28314,2085
721XX,2080
33009,2079
33312,2077
33615,2077
351XX,2059
33614,2057
38125,2049
773XX,2042
10467,2039
76133,2038
317XX,2032
900XX,2027
11207,2023
37013,2022
76119,2022
28215,2020
30024,2017
19121,2014
294XX,2014
20002,2008
765XX,2008
48235,2007
07305,2000
76112,1994
19141,1977
33411,1973
199XX,1971
33309,1958
395XX,1953
33150,1946
284XX,1945
132XX,1943
19132,1942
236XX,1939
33064,1936
32839,1920
20747,1919
33054,1918
79936,1918
77090,1917
29223,1913
304XX,1911
38016,1902
30013,1901
30328,1896
554XX,1895
30344,1891
357XX,1886
30067,1879
305XX,1877
33351,1870
30309,1864
19111,1862
34746,1859
30305,1858
33063,1856
30312,1848
33647,1848
79928,1845
90047,1845
346XX,1844
320XX,1840
19151,1838
19720,1837
021XX,1836
368XX,1836
33055,1834
681XX,1829
741XX,1827
720XX,1825
365XX,1823
085XX,1819
33578,1819
60419,1818
07047,1817
28208,1817
77095,1815
27610,1814
33018,1814
90250,1809
850XX,1804
63033,1803
60624,1799
28273,1796
11226,1793
33837,1792
89148,1789
60616,1783
30032,1782
33015,1782
891XX,1780
75068,1777
33157,1775
10453,1774
77073,1774
77070,1773
28027,1769
731XX,1766
77469,1765
28213,1759
710XX,1758
198XX,1757
33168,1757
30291,1756
30144,1749
454XX,1749
704XX,1749
30315,1746
306XX,1740
46410,1739
19142,1731
11550,1729
33142,1728
20772,1726
238XX,1724
30087,1723
38128,1723
212XX,1721
30350,1720
19013,1719
064XX,1717
32256,1717
23666,1715
30296,1714
312XX,1714
390XX,1714
10469,1711
32818,1711
34759,1711
30909,1705
11520,1704
93535,1704
33463,1703
60623,1701
90044,1701
324XX,1692
326XX,1692
34234,1691
402XX,1690
300XX,1689
33160,1689
48219,1688
48227,1687
606XX,1680
802XX,1680
33321,1678
76179,1675
440XX,1668
19082,1667
75034,1665
27616,1664
32244,1664
63136,1662
75067,1662
48221,1660
75070,1659
32808,1658
60473,1658
89031,1657
60901,1656
60440,1655
33010,1653
347XX,1652
380XX,1651
75056,1649
75165,1649
77489,1649
15001,1647
33579,1642
945XX,1641
33617,1640
76105,1640
93722,1640
146XX,1634
281XX,1632
36117,1632
11003,1631
07087,1630
757XX,1625
33021,1624
60827,1624
60443,1622
77429,1622
28214,1620
76137,1620
723XX,1618
31907,1613
490XX,1612
32822,1611
354XX,1610
48224,1609
60621,1609
01841,1608
07111,1608
11218,1606
600XX,1594
33069,1592
08081,1591
33186,1591
31088,1590
32811,1586
77042,1581
10457,1580
078XX,1579
33033,1574
34744,1568
077XX,1567
853XX,1565
32210,1564
398XX,1560
22191,1559
75050,1559
76134,1558
30519,1557
21207,1556
462XX,1556
11234,1554
30122,1553
29483,1552
766XX,1551
30316,1550
33409,1549
208XX,1548
30248,1546
33404,1546
279XX,1540
60426,1537
33610,1533
33619,1525
756XX,1525
38654,1524
10977,1523
20735,1520
30214,1520
280XX,1517
91730,1517
32824,1516
33324,1515
30101,1514
329XX,1513
33012,1512
60153,1512
30019,1511
119XX,1509
78245,1509
07002,1508
19104,1507
19702,1504
76002,1502
30311,1500
77083,1500
299XX,1497
76549,1496
777XX,1492
11203,1491
77047,1491
315XX,1490
074XX,1489
396XX,1488
605XX,1488
70058,1487
19146,1486
19149,1486
20020,1485
716XX,1484
29445,1478
313XX,1478
27406,1473
75243,1472
786XX,1472
11412,1470
28277,1469
30132,1469
37042,1469
60612,1469
77578,1467
10456,1465
11208,1465
48228,1463
223XX,1461
63031,1461
30046,1460
10314,1454
372XX,1453
33322,1450
11213,1447
21244,1446
722XX,1445
89117,1445
34787,1443
19150,1442
20785,1442
30906,1441
77379,1441
11413,1438
30310,1438
70072,1438
29456,1436
33126,1430
11221,1428
30157,1428
60629,1425
77406,1421
90046,1421
200XX,1420
20748,1420
76244,1415
30012,1414
75241,1414
287XX,1413
33137,1413
33060,1411
53218,1411
027XX,1410
30088,1406
272XX,1402
60438,1402
32771,1398
33570,1397
89108,1396
94565,1394
30263,1392
231XX,1391
29461,1389
30094,1388
37128,1388
11204,1387
60466,1387
33125,1386
60636,1385
77545,1385
33511,1384
77450,1383
08701,1382
90805,1382
972XX,1382
11233,1381
183XX,1381
21206,1379
92336,1378
33193,1377
77386,1377
43232,1375
76001,1375
20011,1373
703XX,1373
30093,1372
20743,1370
89147,1368
32828,1367
30260,1365
77521,1362
20744,1361
75035,1361
34758,1360
481XX,1359
553XX,1359
72204,1359
76017,1358
07017,1351
75150,1349
91367,1349
10701,1347
30022,1345
33177,1344
76006,1343
640XX,1339
19805,1338
10462,1337
89123,1337
393XX,1336
79912,1336
07093,1335
77007,1335
77088,1331
015XX,1329
463XX,1327
20746,1325
30341,1324
180XX,1323
38018,1323
082XX,1322
29485,1322
36116,1321
60652,1321
19023,1320
89183,1319
374XX,1318
90019,1315
19709,1314
77338,1314
33029,1313
77063,1313
76131,1311
08046,1310
301XX,1308
967XX,1308
11691,1305
27405,1305
488XX,1305
92392,1305
75071,1303
75043,1302
285XX,1301
391XX,1300
33167,1299
28278,1297
77388,1297
33130,1295
76108,1294
77004,1291
11580,1286
30180,1286
10466,1285
19050,1283
75149,1282
713XX,1281
28227,1280
023XX,1279
75134,1279
89084,1277
254XX,1275
34741,1275
21215,1274
11206,1273
30047,1271
77045,1271
30066,1268
31313,1268
394XX,1268
28376,1265
060XX,1263
