complaint_id,product,issue,narrative_length,narrative
5396633,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,4,XXXX
3623255,Checking or savings account,Opening an account,4,Okay
2548797,Debt collection,Attempts to collect debt not owed,5,Fraud
3747633, -- XXXX XXXX XXXX, XXXX,6," XXXX"""
4491737,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,7,No help
4491735,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,7,No help
4491736,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,7,No help
2300779,Student loan,Can't repay my loan,8,Not sure
1502310,Debt collection,Communication tactics,8,Old debt
1495483,Bank account or service,"Making/receiving payments, sending money",9,fradulent
2289875,Debt collection,Cont'd attempts collect debt not owed,9,On credit
1457412,Debt collection,Cont'd attempts collect debt not owed,9,is not me
7306123,Debt collection,Attempts to collect debt not owed,9,Paid debt
3566641,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,9,Not items
5415431,Checking or savings account,Managing an account,9,This week
4418000,Debt collection,Attempts to collect debt not owed,9,XXXX XXXX
12168325,Credit reporting or other personal consumer reports,Improper use of your report,10,XX/XX/XXXX
6996869,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,10,XX/XX/XXXX
11964018,Credit reporting or other personal consumer reports,Improper use of your report,10,XX/XX/XXXX
9910750,Credit reporting or other personal consumer reports,Improper use of your report,10,XX/XX/XXXX
9910839,Credit reporting or other personal consumer reports,Improper use of your report,10,XX/XX/XXXX
11976004,Credit reporting or other personal consumer reports,Improper use of your report,10,XX/XX/XXXX
11971120,Credit reporting or other personal consumer reports,Improper use of your report,10,XX/XX/XXXX
12168328,Credit reporting or other personal consumer reports,Improper use of your report,10,XX/XX/XXXX
11964233,Credit reporting or other personal consumer reports,Improper use of your report,10,XX/XX/XXXX
11521529,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,10,XX/XX/XXXX
9911346,Credit reporting or other personal consumer reports,Improper use of your report,10,XX/XX/XXXX
14479804,Credit reporting or other personal consumer reports,Improper use of your report,10,XX/XX/XXXX
11733277,Credit reporting or other personal consumer reports,Improper use of your report,10,XX/XX/XXXX
